source_target_gene,n_cells
GFOD2,127
GGPS1,42
GINS1,86
GINS2,62
GINS3,23
GINS4,97
GIT2,45
GJA3,43
GLB1,55
GLE1,98
GLI4,16
GLMN,26
GLRX3,42
GLRX5,98
GMIP,51
GMPPB,36
GMPS,31
GNB1L,55
GNL2,76
GNL3,116
GNL3L,63
GNPAT,30
GNPNAT1,84
GOLGA6L1,40
GOLT1B,71
GON4L,69
GOSR2,33
GPKOW,50
GPN1,60
GPN2,24
GPN3,83
GPR61,26
GPS1,317
GPS2,39
GRB2,78
GRPEL1,80
GRSF1,69
GRWD1,56
GSDMA,44
GSK3B,59
GSPT1,56
GTF2A1,90
GTF2A2,31
GTF2B,28
GTF2E1,54
GTF2E2,476
GTF2F1,18
GTF2F2,76
GTF2H1,42
GTF2H2,30
GTF2H2C,22
GTF2H3,34
GTF2H4,50
GTF3A,42
GTF3C1,76
GTF3C2,57
GTF3C3,24
GTF3C4,536
GTF3C5,30
GTF3C6,53
GTPBP4,145
GUCD1,46
GUK1,39
GYG1,60
H2AFX,44
H2AFZ,71
H3F3A,45
HAMP,42
HAPLN2,19
HARS,59
HARS2,16
HAUS1,5
HAUS3,12
HAUS4,11
HAUS5,10
HAUS6,13
HAUS7,39
HAUS8,53
HBS1L,22
HCFC1,37
HCRTR1,25
HDAC3,42
HDAC7,46
HEATR1,20
HECTD1,46
HERC1,85
HEXIM1,22
HGS,43
HHEX,64
HINFP,32
HIPK1,40
HIRA,129
HIST1H2AB,17
HIST1H2AE,26
HIST1H2AI,9
HIST1H2BB,37
HIST1H2BC,72
HIST1H2BE,30
HIST1H2BJ,18
HIST1H2BL,41
HIST1H2BM,38
HIST1H2BN,33
HIST2H2AA3,14
HIST2H2AC,16
HIST2H2BE,49
HIST2H2BF,29
HIST2H3A,32
HIST2H3D,44
HJURP,78
HLA-C,29
HMBOX1,63
HMGA1,47
HMGB1,59
HMGB3,44
HMGCR,29
HMGCS1,59
HMGN2,19
HMX3,47
HNRNPA1,54
HNRNPC,73
HNRNPDL,43
HNRNPH1,63
HNRNPK,57
HNRNPL,178
HNRNPM,46
HNRNPR,22
HNRNPU,20
HOXA3,62
HOXC10,21
HPS5,37
HS6ST1,61
HSCB,182
HSD17B10,229
HSD17B12,178
HSF1,34
HSP90B1,60
HSPA5,150
HSPA8,59
HSPA9,104
HSPA14,43
HSPD1,33
HSPE1,87
HSPH1,33
HTATSF1,32
HUS1,60
HUWE1,58
HYOU1,22
HYPK,34
IARS,41
IARS2,59
ICE1,51
IFITM2,22
IFITM3,29
IGBP1,61
IK,176
ILF2,52
ILF3,41
IMP3,13
IMP4,56
IMPA2,64
IMPDH2,92
INF2,42
ING3,59
INO80,36
INO80B,44
INO80C,52
INO80D,35
INO80E,26
INPPL1,31
INTS1,59
INTS2,152
INTS3,74
INTS4,60
INTS5,53
INTS6,35
INTS7,48
INTS8,159
INTS9,89
INTS10,42
INTS11,83
INTS12,74
INTS13,157
INTS14,132
IPO7,85
IPO9,43
IPO11,59
IPO13,21
IRF2BP2,29
ISCA2,69
ISCU,128
ISG20L2,71
IST1,52
ISY1,26
ITGB1BP1,39
IWS1,42
JAZF1,153
JMJD6,63
KANSL1,46
KANSL2,18
KANSL3,20
KARS,21
KAT5,6
KAT7,46
KAT8,40
KATNB1,23
KCMF1,45
KCNA10,29
KCTD10,6
KDM1A,48
KDM2A,18
KDM5C,29
KDM6A,92
KDM8,35
KEAP1,102
KIAA0586,37
KIAA1143,52
KIF4A,25
KIF11,96
KIF14,8
KIF18A,4
KIF18B,80
KIF20A,11
KIF23,4
KIN,73
KLC2,17
KLF7,45
KLHL11,44
KLHL17,59
KPNA6,58
KPNB1,76
KRI1,63
KRR1,39
KRT8,64
KRT10,73
KRT17,160
KRTAP4-2,52
KRTAP4-7,42
KTI12,72
KXD1,23
LAMB1,35
LAMTOR1,126
LAMTOR2,24
LAMTOR3,29
LAMTOR4,31
LARS,46
LARS2,44
LAS1L,78
LCE1C,30
LCE1E,51
LCN10,38
LDB1,45
LENG8,37
LEO1,10
LETM1,70
LIMS1,44
LIN52,34
LIN54,139
LMO2,96
LONP1,58
LPA,20
LPIN1,75
LRP5,56
LRPPRC,19
LRR1,87
LRRC37A3,56
LRRC37B,21
LSG1,83
LSM2,34
LSM3,39
LSM4,50
LSM5,122
LSM6,56
LSM7,68
LSM10,46
LSM11,18
LSM12,69
LST1,72
LTB4R2,48
LTBP3,72
LTBP4,63
LTV1,53
LUC7L3,13
LURAP1,26
LYRM4,44
LZTR1,34
MAD2L1,91
MAD2L2,88
MAGOH,26
MAK16,37
MALSU1,40
MANF,65
MAP2K7,56
MARS,42
MARS2,29
MASTL,49
MAT2A,104
MAU2,36
MAX,47
MBD3,33
MBIP,37
MBNL1,105
MBTPS1,115
MBTPS2,90
MCEE,23
MCL1,82
MCM2,42
MCM3,155
MCM3AP,58
MCM4,28
MCM5,44
MCM6,126
MCM7,63
MCM10,41
MCMBP,141
MCRS1,17
MDN1,74
MED1,11
MED4,138
MED6,39
MED7,56
MED8,76
MED9,34
MED10,23
MED11,90
MED12,14
MED14,211
MED16,47
MED17,33
MED18,46
MED19,112
MED20,74
MED21,66
MED22,53
MED24,6
MED26,32
MED27,15
MED28,19
MED29,38
MED30,37
MED31,18
MEF2A,26
MEIS3,51
MEMO1,47
MEN1,58
MEPCE,27
METAP1,32
METAP2,38
METTL1,33
METTL3,73
METTL14,39
METTL16,29
METTL17,30
METTL21A,11
METTL23,35
MEX3A,34
MFAP1,19
MFN2,139
MICOS10,56
MIER1,61
MIOS,62
MIPEP,41
MIS12,37
MIS18A,26
MIS18BP1,81
MKRN1,73
MLLT6,129
MLST8,29
MMGT1,28
MMP17,56
MMS19,48
MMS22L,44
MNAT1,69
MOB4,87
MOCS3,25
MOG,27
MOK,24
MON1A,94
MPG,32
MPHOSPH6,83
MPHOSPH10,83
MRGBP,118
MRM1,33
MRPL1,32
MRPL2,22
MRPL3,71
MRPL4,37
MRPL9,34
MRPL10,49
MRPL11,19
MRPL13,24
MRPL14,47
MRPL15,25
MRPL16,63
MRPL17,33
MRPL18,40
MRPL19,29
MRPL20,33
MRPL21,8
MRPL22,10
MRPL23,31
MRPL24,61
MRPL27,60
MRPL28,35
MRPL32,43
MRPL33,18
MRPL34,414
MRPL35,333
MRPL36,430
MRPL37,34
MRPL38,55
MRPL39,57
MRPL41,52
MRPL42,18
MRPL43,26
MRPL44,26
MRPL45,25
MRPL46,29
MRPL49,51
MRPL50,34
MRPL51,45
MRPL53,37
MRPL54,55
MRPL55,22
MRPS2,37
MRPS5,58
MRPS6,64
MRPS7,43
MRPS9,30
MRPS10,38
MRPS11,22
MRPS12,15
MRPS14,11
MRPS16,53
MRPS17,51
MRPS18A,24
MRPS18B,14
MRPS18C,20
MRPS21,86
MRPS22,20
MRPS23,42
MRPS24,27
MRPS25,38
MRPS26,42
MRPS27,27
MRPS28,30
MRPS30,33
MRPS31,17
MRPS33,43
MRPS34,52
MRPS35,33
MRTO4,30
MSL1,39
MSRB1,43
MST1,34
MSTO1,29
MT2A,17
MTBP,81
MTCP1,28
MTG2,86
MTHFD1,35
MTOR,81
MTPAP,10
MTREX,26
MTRNR2L1,19
MVD,49
MVK,153
MYB,39
MYBBP1A,65
MYBL2,136
MYC,52
MYCBP,46
MYO1H,48
MYSM1,39
MZF1,37
MZT1,31
N6AMT1,28
NAA10,41
NAA15,36
NAA20,42
NAA25,90
NAA30,33
NAA35,66
NAA38,96
NAA50,65
NACA,49
NAE1,18
NAF1,101
NAGLU,88
NANOG,28
NAPA,28
NAPG,83
NARS,85
NARS2,76
NASP,30
NAT10,19
NBAS,35
NBEAL1,75
NBPF3,44
NBPF12,432
NBPF15,43
NCAPD2,61
NCAPD3,24
NCAPG,28
NCAPG2,46
NCAPH,24
NCAPH2,55
NCBP1,15
NCBP2,25
NCKAP1,39
NCL,87
NCOA4,27
NDC1,45
NDC80,15
NDOR1,25
NDUFA2,35
NDUFA3,36
NDUFA4,28
NDUFA6,40
NDUFA8,13
NDUFA11,38
NDUFAB1,66
NDUFAF3,44
NDUFAF5,34
NDUFAF7,38
NDUFB3,40
NDUFB4,34
NDUFB6,19
NDUFB7,16
NDUFB8,38
NDUFB10,27
NDUFS3,32
NDUFS5,30
NDUFV2,21
NEDD1,12
NEDD8,6
NEDD8-MDP1,13
NELFA,43
NELFB,107
NELFCD,50
NELFE,57
NEMF,45
NEPRO,24
NF1,24
NFATC2IP,55
NFKBIE,32
NFRKB,67
NFS1,90
NFYB,105
NFYC,108
NHLRC2,35
NHP2,40
NIFK,105
NIP7,50
NISCH,74
NKAP,33
NKAPD1,59
NKX6-1,20
NLE1,60
NMD3,87
NMT1,19
NOB1,89
NOC2L,28
NOC3L,89
NOC4L,63
NOL6,60
NOL7,49
NOL8,124
NOL9,40
NOL10,44
NOL11,58
NOL12,67
NOLC1,84
NOM1,131
NOMO1,61
NOMO3,74
NOP2,26
NOP9,46
NOP10,24
NOP14,123
NOP16,32
NOP56,21
NOP58,62
NOS1AP,45
NPAT,18
NPB,75
NPEPPS,39
NPLOC4,54
NPM1,49
NPM3,20
NR2C2AP,22
NRBP1,50
NRDE2,52
NRF1,30
NSA2,83
NSF,48
NSL1,16
NSMCE1,17
NSMCE2,56
NSRP1,18
NSUN4,51
NUB1,80
NUBP1,30
NUBP2,60
NUDC,67
NUDCD3,172
NUDT15,39
NUDT21,19
NUF2,12
NUFIP1,46
NUMA1,39
NUP35,52
NUP43,67
NUP54,35
NUP62,51
NUP85,136
NUP88,200
NUP93,8
NUP98,136
NUP107,137
NUP133,217
NUP153,99
NUP155,9
NUP160,59
NUP205,27
NUP214,106
NUS1,34
NUTF2,101
NVL,73
NXF1,79
OGFOD1,58
OGT,11
OIP5,42
OLFML3,76
OPA1,40
OR1D2,25
OR1E2,72
OR2A1,19
OR2T5,37
OR2T29,35
OR4F4,17
OR4K1,40
OR4N2,35
OR7A10,23
OR7A17,27
ORC1,67
ORC3,33
ORC4,51
ORC5,64
ORC6,52
OSBP,30
OSGEP,41
OSTC,37
OTOP1,55
OTX1,50
OVCA2,46
OXA1L,14
PABPC1,66
PABPC4,69
PABPN1,62
PAF1,34
PAFAH1B1,33
PAK1IP1,20
PALB2,49
PAM16,60
PARN,94
PARS2,66
PAXBP1,78
PC,64
PCBP1,75
PCBP2,96
PCF11,47
PCID2,67
PCM1,28
PCNA,86
PCNX3,62
PDAP1,42
PDCD2,28
PDCD5,94
PDCD6,37
PDCD6IP,79
PDCD7,37
PDCD11,133
PDHA1,59
PDPK1,32
PDRG1,52
PEF1,15
PELO,59
PELP1,84
PES1,84
PET117,51
PEX1,15
PEX19,51
PFDN1,23
PFDN2,45
PFDN4,44
PFDN5,20
PFDN6,35
PFN1,74
PGAM1,77
PGAM5,50
PGD,31
PGK1,65
PGPEP1,43
PGS1,35
PHAX,97
PHB,58
PHB2,57
PHF5A,58
PHF10,79
PHF12,48
PI4KA,219
PIAS1,50
PIAS4,70
PIGH,31
PIK3C3,32
PIK3R4,24
PIP4K2C,19
PITRM1,78
PKM,85
PKMYT1,16
PLA2G10,41
PLEKHN1,31
PLK1,47
PLK4,207
PLRG1,18
PMF1,124
PMPCA,51
PMPCB,126
PNISR,49
PNKP,41
PNN,170
PNO1,54
PNPT1,47
POGLUT3,386
POGZ,38
POLA1,58
POLA2,28
POLD1,44
POLD2,36
POLD3,17
POLE,31
POLE2,15
POLG,24
POLG2,31
POLL,85
POLR1A,31
POLR1B,17
POLR1C,188
POLR1D,63
POLR1E,112
POLR2A,27
POLR2B,133
POLR2C,66
POLR2D,91
POLR2E,143
