source_target_gene,n_cells
ARID3C,227
ARID4A,152
ARID4B,532
ARID5A,73
ARID5B,375
ARIH1,434
ARIH2,398
ARIH2OS,285
ARL1,212
ARL10,520
ARL11,190
ARL13A,83
ARL13B,249
ARL14,87
ARL14EP,153
ARL14EPL,350
ARL15,270
ARL16,350
ARL2,167
ARL2BP,227
ARL3,426
ARL4A,226
ARL4C,329
ARL4D,58
ARL5A,114
ARL5B,141
ARL5C,183
ARL6,89
ARL6IP1,239
ARL6IP4,210
ARL6IP5,97
ARL6IP6,255
ARL8A,303
ARL8B,65
ARL9,117
ARMC1,148
ARMC10,87
ARMC12,233
ARMC2,90
ARMC3,168
ARMC5,298
ARMC6,111
ARMC7,146
ARMC8,64
ARMC9,230
ARMCX1,193
ARMCX2,80
ARMCX3,494
ARMCX4,153
ARMCX6,270
ARMH1,348
ARMH3,284
ARMH4,67
ARMS2,191
ARMT1,177
ARNT,455
ARNT2,138
ARPC1A,203
ARPC1B,66
ARPC2,295
ARPC3,531
ARPC4,103
ARPC5,491
ARPC5L,444
ARPIN,147
ARPP19,155
ARPP21,142
ARR3,100
ARRB1,121
ARRB2,90
ARRDC1,309
ARRDC1-AS1,333
ARRDC2,252
ARRDC3,307
ARRDC4,339
ARRDC5,216
ARSA,145
ARSB,185
ARSD,342
ARSF,271
ARSG,217
ARSH,78
ARSI,118
ARSJ,139
ARSK,138
ARSL,77
ART1,371
ART3,636
ART4,133
ART5,218
ARTN,284
ARV1,121
ARVCF,92
ARX,413
AS3MT,31
ASAH1,120
ASAH2,255
ASAH2B,203
ASAP1,247
ASAP2,170
ASAP3,276
ASB1,622
ASB10,123
ASB11,357
ASB12,629
ASB13,314
ASB14,35
ASB15,571
ASB16,302
ASB17,298
ASB18,189
ASB2,292
ASB4,164
ASB5,126
ASB6,156
ASB7,140
ASB8,45
ASB9,458
ASCC1,164
ASCC2,220
ASCC3,88
ASCL1,52
ASCL2,98
ASCL3,216
ASCL4,228
ASCL5,391
ASF1A,232
ASF1B,271
ASGR1,186
ASGR2,218
ASH1L,106
ASH2L,204
ASIC1,120
ASIC2,71
ASIC3,741
ASIC4,269
ASIC5,236
ASIP,555
ASL,453
ASMT,96
ASMTL,117
ASNS,244
ASNSD1,220
ASPA,314
ASPDH,316
ASPG,271
ASPH,103
ASPHD1,90
ASPHD2,150
ASPM,373
ASPN,54
ASPRV1,293
ASPSCR1,30
ASRGL1,58
ASS1,222
ASTE1,205
ASTL,275
ASTN1,89
ASTN2,174
ASXL1,199
ASXL2,668
ASXL3,228
ASZ1,145
ATAD1,138
ATAD2,136
ATAD2B,164
ATAD3A,305
ATAD3B,188
ATAD3C,199
ATAD5,62
ATAT1,212
ATCAY,151
ATE1,543
ATF1,119
ATF2,102
ATF3,369
ATF4,243
ATF6,157
ATF6B,186
ATF7,43
ATF7IP,884
ATF7IP2,343
ATG10,130
ATG101,599
ATG12,181
ATG13,423
ATG14,216
ATG16L1,221
ATG16L2,95
ATG2A,133
ATG2B,159
ATG3,299
ATG4A,268
ATG4B,298
ATG4C,263
ATG4D,421
ATG5,260
ATG7,292
ATG9A,553
ATG9B,68
ATIC,89
ATL1,284
ATL2,122
ATL3,13
ATM,9
ATMIN,360
ATN1,168
ATOH1,293
ATOH7,235
ATOH8,403
ATOSA,35
ATOSB,156
ATOX1,73
ATP10A,99
ATP10B,48
ATP10D,213
ATP11A,338
ATP11AUN,74
ATP11B,148
ATP11C,101
ATP12A,418
ATP13A1,292
ATP13A2,279
ATP13A3,128
ATP13A4,370
ATP13A5,418
ATP1A1,42
ATP1A2,315
ATP1A3,119
ATP1A4,176
ATP1B1,106
ATP1B2,144
ATP1B3,60
ATP1B4,193
ATP23,271
ATP2A1,276
ATP2A2,340
ATP2A3,284
ATP2B1,9
ATP2B2,371
ATP2B3,442
ATP2B4,314
ATP2C1,114
ATP2C2,193
ATP4A,285
ATP4B,138
ATP5F1A,597
ATP5F1B,429
ATP5F1C,102
ATP5F1D,242
ATP5F1E,244
ATP5IF1,194
ATP5MC1,380
ATP5MC2,227
ATP5MC3,285
ATP5ME,365
ATP5MG,122
ATP5MGL,137
ATP5MJ,75
ATP5MK,188
ATP5PB,41
ATP5PD,190
ATP5PO,171
ATP6AP1,205
ATP6AP2,85
ATP6V0A1,79
ATP6V0A2,142
ATP6V0A4,210
ATP6V0B,119
ATP6V0C,88
ATP6V0D1,425
ATP6V0D2,136
ATP6V0E1,164
ATP6V0E2,127
ATP6V1A,195
ATP6V1B1,102
ATP6V1B2,204
ATP6V1C1,29
ATP6V1C2,491
ATP6V1D,308
ATP6V1E1,124
ATP6V1F,152
ATP6V1G1,161
ATP6V1G2,218
ATP6V1G3,839
ATP6V1H,301
ATP7A,142
ATP7B,220
ATP8A1,310
ATP8A2,53
ATP8B1,501
ATP8B2,243
ATP8B3,116
ATP8B4,87
ATP9A,205
ATP9B,584
ATPAF1,322
ATPAF2,285
ATPSCKMT,56
ATR,488
ATRAID,292
ATRIP,64
ATRN,529
ATRNL1,158
ATRX,248
ATXN1,137
ATXN10,152
ATXN1L,277
ATXN2,341
ATXN2L,202
ATXN3,33
ATXN3L,150
ATXN7,79
ATXN7L1,274
ATXN7L2,430
ATXN7L3,486
ATXN7L3B,269
AUH,446
AUNIP,59
AUP1,218
AURKA,32
AURKAIP1,116
AURKB,4
AURKC,369
AUTS2,133
AVEN,155
AVIL,237
AVL9,275
AVP,95
AVPI1,351
AVPR1A,310
AVPR1B,55
AVPR2,233
AWAT1,288
AWAT2,265
AXDND1,618
AXIN1,116
AXIN2,363
AXL,33
AZGP1,406
AZI2,180
AZIN1,166
AZIN2,171
AZU1,506
B2M,286
B3GALNT1,151
B3GALNT2,278
B3GALT1,317
B3GALT2,302
B3GALT4,122
B3GALT5,784
B3GALT6,208
B3GAT1,183
B3GAT2,181
B3GAT3,366
B3GLCT,309
B3GNT2,213
B3GNT3,442
B3GNT4,194
B3GNT5,1
B3GNT6,32
B3GNT7,93
B3GNT8,275
B3GNT9,193
B3GNTL1,98
B4GALNT1,32
B4GALNT2,500
B4GALNT3,510
B4GALNT4,86
B4GALT1,135
B4GALT2,104
B4GALT3,239
B4GALT4,228
B4GALT5,110
B4GALT6,54
B4GALT7,116
B4GAT1,261
B9D1,78
B9D2,48
BAALC,280
BAAT,284
BABAM1,430
BABAM2,153
BACE1,538
BACE2,331
BACH1,152
BACH2,554
BAD,301
BAG1,142
BAG2,217
BAG3,220
BAG4,109
BAG5,180
BAHCC1,161
BAHD1,48
BAIAP2,221
BAIAP2L1,145
BAIAP2L2,203
BAIAP3,132
BAK1,88
BAMBI,314
BANF1,176
BANF2,144
BANK1,91
BANP,132
BAP1,279
BARD1,67
BARHL1,178
BARHL2,218
BARX1,165
