target_gene,H1,K562,RPE1,HepG2,Jurkat,A549,MCF7,HT29,HAP1,BxPC3,A172,T98G,U87MG,HCT116,HEK293T,KOLF2.1J,CD4T
ACTMAP,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACTN1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACTN2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACTN3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACTN4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACTR10,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0
ACTR1A,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACTR1B,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACTR2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACTR3,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACTR3B,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACTR3C,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ACTR5,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACTR6,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACTR8,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1
ACTRT1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACTRT2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACTRT3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
ACVR1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
ACVR1B,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ACVR1C,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
ACVR2A,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ACVR2B,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
ACVRL1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
ACY1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
ACY3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ACYP1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
